"species","decimalLongitude","decimalLatitude","year"
"110","Cardinalis cardinalis",-91.127067,38.592572,2024
"111","Cardinalis cardinalis",-75.383746,40.007846,2024
"112","Cardinalis cardinalis",-73.741587,40.685816,2024
"113","Cardinalis cardinalis",-73.611449,40.658421,2024
"114","Cardinalis cardinalis",-74.087457,45.26925,2024
"115","Cardinalis cardinalis",-91.106892,30.368505,2024
"116","Cardinalis cardinalis",-91.10687,30.368509,2024
"117","Cardinalis cardinalis",-78.374779,36.426891,2024
"118","Cardinalis cardinalis",-78.152517,39.0446,2024
"119","Cardinalis cardinalis",-80.504198,43.516291,2024
"120","Cardinalis cardinalis",-80.504462,43.514164,2024
"121","Cardinalis cardinalis",-84.505195,32.361878,2024
"122","Cardinalis cardinalis",-93.586545,38.992349,2024
"123","Cardinalis cardinalis",-79.493616,43.652536,2024
"124","Cardinalis cardinalis",-79.167852,40.5951,2024
"125","Cardinalis cardinalis",-73.803825,45.628807,2024
"126","Cardinalis cardinalis",-97.165147,32.876272,2024
"127","Cardinalis cardinalis",-97.172135,32.87789,2024
"128","Cardinalis cardinalis",-97.145767,33.023899,2024
"129","Cardinalis cardinalis",-63.481489,44.670629,2024
"130","Cardinalis cardinalis",-70.261924,41.657613,2024
"131","Cardinalis cardinalis",-63.471753,44.673139,2024
"132","Cardinalis cardinalis",-95.603305,30.373881,2024
"133","Cardinalis cardinalis",-73.658449,45.643203,2024
"134","Cardinalis cardinalis",-73.658449,45.643203,2024
"135","Cardinalis cardinalis",-80.378799,41.295492,2024
"136","Cardinalis cardinalis",-82.327262,28.612509,2024
"137","Cardinalis cardinalis",-82.327262,28.612509,2024
"138","Cardinalis cardinalis",-82.327262,28.612509,2024
"139","Cardinalis cardinalis",-157.732111,21.393678,2024
"140","Cardinalis cardinalis",-84.16857,39.616666,2024
"141","Cardinalis cardinalis",-73.967771,40.658376,2024
"142","Cardinalis cardinalis",-75.067302,40.328699,2024
"143","Cardinalis cardinalis",-98.775079,29.826613,2024
"144","Cardinalis cardinalis",-79.379009,43.783129,2024
"145","Cardinalis cardinalis",-88.196566,42.394693,2024
"146","Cardinalis cardinalis",-88.211222,42.383055,2024
"147","Cardinalis cardinalis",-97.012133,33.365651,2024
"148","Cardinalis cardinalis",-77.15473,38.895776,2024
"149","Cardinalis cardinalis",-77.154741,38.895779,2024
