variable,x,y
bio05,128.1,0.01741967350244522
bio05,128.7216,0.01741967350244522
bio05,129.3432,0.01741967350244522
bio05,129.9648,0.01741967350244522
bio05,130.5864,0.01741967350244522
bio05,131.208,0.01741967350244522
bio05,131.8296,0.01741967350244522
bio05,132.4512,0.01741967350244522
bio05,133.0728,0.01741967350244522
bio05,133.6944,0.01741967350244522
bio05,134.316,0.01741967350244522
bio05,134.9376,0.01741967350244522
bio05,135.5592,0.01741967350244522
bio05,136.1808,0.01741967350244522
bio05,136.80239999999998,0.01741967350244522
bio05,137.42399999999998,0.01741967350244522
bio05,138.04559999999998,0.01741967350244522
bio05,138.66719999999998,0.01741967350244522
bio05,139.28879999999998,0.01741967350244522
bio05,139.91039999999998,0.01741967350244522
bio05,140.53199999999998,0.01741967350244522
bio05,141.15359999999998,0.01741967350244522
bio05,141.77519999999998,0.01741967350244522
bio05,142.39679999999998,0.01741967350244522
bio05,143.01839999999999,0.01741967350244522
bio05,143.64,0.01741967350244522
bio05,144.2616,0.01741967350244522
bio05,144.8832,0.01741967350244522
bio05,145.5048,0.01741967350244522
bio05,146.1264,0.01741967350244522
bio05,146.748,0.01741967350244522
bio05,147.3696,0.01741967350244522
bio05,147.9912,0.01741967350244522
bio05,148.6128,0.01741967350244522
bio05,149.2344,0.01741967350244522
bio05,149.856,0.01741967350244522
bio05,150.4776,0.01741967350244522
bio05,151.0992,0.01741967350244522
bio05,151.7208,0.01741967350244522
bio05,152.3424,0.01741967350244522
bio05,152.964,0.01741967350244522
bio05,153.5856,0.01741967350244522
bio05,154.2072,0.017495008185505867
bio05,154.8288,0.017722954973578453
bio05,155.4504,0.017953844740986824
bio05,156.072,0.018187718465924263
bio05,156.6936,0.018424605950713158
bio05,157.3152,0.01866454817354679
bio05,157.9368,0.018907586112618446
bio05,158.55839999999998,0.019153757020831108
bio05,159.17999999999998,0.01940310001373291
bio05,159.80159999999998,0.019655663520097733
bio05,160.4232,0.019911475479602814
bio05,161.04479999999998,0.020170582458376884
bio05,161.66639999999998,0.020433025434613228
bio05,162.28799999999998,0.020698847249150276
bio05,162.90959999999998,0.02096809633076191
bio05,163.53119999999998,0.021240802481770515
bio05,164.15279999999998,0.021517015993595123
bio05,164.77439999999999,0.021796783432364464
bio05,165.396,0.02208014391362667
bio05,166.0176,0.022367147728800774
bio05,166.6392,0.02265784703195095
bio05,167.2608,0.02295227162539959
bio05,167.8824,0.023250475525856018
bio05,168.504,0.023552507162094116
bio05,169.1256,0.023858414962887764
bio05,169.7472,0.02416824735701084
bio05,170.3688,0.024482058361172676
bio05,170.9904,0.024799885228276253
bio05,171.612,0.025121785700321198
bio05,172.2336,0.02544780820608139
bio05,172.8552,0.02577800489962101
bio05,173.4768,0.02611243911087513
bio05,174.0984,0.026451142504811287
bio05,174.71999999999997,0.026794180274009705
bio05,175.34159999999997,0.027141602709889412
bio05,175.96319999999997,0.027493467554450035
bio05,176.58479999999997,0.027849826961755753
bio05,177.20639999999997,0.028210747987031937
bio05,177.82799999999997,0.028576267883181572
bio05,178.44959999999998,0.02894645184278488
bio05,179.07119999999998,0.02932135947048664
bio05,179.69279999999998,0.029701048508286476
bio05,180.31439999999998,0.03008558601140976
bio05,180.93599999999998,0.030475014820694923
bio05,181.55759999999998,0.03086940385401249
bio05,182.17919999999998,0.03126881271600723
bio05,182.80079999999998,0.031673308461904526
bio05,183.42239999999998,0.032082945108413696
bio05,184.04399999999998,0.03249780088663101
bio05,184.66559999999998,0.032917920500040054
bio05,185.28719999999998,0.03334337845444679
bio05,185.90879999999999,0.0337742380797863
bio05,186.5304,0.03421056270599365
bio05,187.152,0.03465242683887482
bio05,187.7736,0.035099901258945465
bio05,188.3952,0.035553038120269775
bio05,189.0168,0.036011915653944016
bio05,189.6384,0.03647660091519356
bio05,190.26,0.03694716840982437
bio05,190.8816,0.03742370009422302
bio05,191.5032,0.03790624067187309
bio05,192.1248,0.03839488327503204
bio05,192.7464,0.03888969123363495
bio05,193.368,0.03939075022935867
bio05,193.9896,0.03989812359213829
bio05,194.6112,0.04041191190481186
bio05,195.2328,0.04093215987086296
bio05,195.8544,0.04145895689725876
bio05,196.476,0.04199238866567612
bio05,197.0976,0.042532529681921005
bio05,197.71919999999997,0.04307945817708969
bio05,198.3408,0.04363327473402023
bio05,198.9624,0.04419402778148651
bio05,199.58399999999997,0.04476182162761688
bio05,200.2056,0.045336734503507614
bio05,200.82719999999998,0.04591885209083557
bio05,201.44879999999998,0.04650827497243881
bio05,202.0704,0.047105059027671814
bio05,202.69199999999998,0.04770931228995323
bio05,203.31359999999998,0.048321112990379333
bio05,203.93519999999998,0.04894055798649788
bio05,204.55679999999998,0.04956773668527603
bio05,205.17839999999998,0.05020275339484215
bio05,205.79999999999998,0.0508456714451313
bio05,206.42159999999998,0.05149659514427185
bio05,207.04319999999996,0.05215562507510185
bio05,207.66479999999999,0.05282284691929817
bio05,208.2864,0.05349837988615036
bio05,208.90799999999996,0.05418228730559349
bio05,209.5296,0.05487468093633652
bio05,210.15119999999996,0.0555756576359272
bio05,210.7728,0.056285321712493896
bio05,211.3944,0.057003773748874664
bio05,212.01599999999996,0.05773112550377846
bio05,212.6376,0.058467455208301544
bio05,213.25919999999996,0.05921287462115288
bio05,213.88079999999997,0.059967491775751114
bio05,214.5024,0.06073141098022461
bio05,215.12399999999997,0.06150474399328232
bio05,215.74559999999997,0.06228761002421379
bio05,216.36719999999997,0.0630800873041153
bio05,216.98879999999997,0.06388229131698608
bio05,217.61039999999997,0.064694344997406
bio05,218.23199999999997,0.06551636010408401
bio05,218.85359999999997,0.06634846329689026
bio05,219.47519999999997,0.0671907290816307
